"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US18019","Clark County, Indiana","112938","*****"
"0500000US18035","Delaware County, Indiana","117484","*****"
"0500000US18039","Elkhart County, Indiana","200563","*****"
"0500000US18043","Floyd County, Indiana","76244","*****"
"0500000US18053","Grant County, Indiana","69126","*****"
"0500000US18057","Hamilton County, Indiana","296693","*****"
"0500000US18059","Hancock County, Indiana","71575","*****"
"0500000US18063","Hendricks County, Indiana","153879","*****"
"0500000US18067","Howard County, Indiana","82760","*****"
"0500000US18081","Johnson County, Indiana","145535","*****"
"0500000US18085","Kosciusko County, Indiana","77963","*****"
"0500000US18089","Lake County, Indiana","491456","*****"
"0500000US18091","LaPorte County, Indiana","111281","*****"
"0500000US18095","Madison County, Indiana","130482","*****"
"0500000US18097","Marion County, Indiana","928281","*****"
"0500000US18105","Monroe County, Indiana","141888","*****"
"0500000US18109","Morgan County, Indiana","69782","*****"
"0500000US18127","Porter County, Indiana","166557","*****"
"0500000US18141","St. Joseph County, Indiana","266709","*****"
"0500000US18157","Tippecanoe County, Indiana","180174","*****"
"0500000US18163","Vanderburgh County, Indiana","181398","*****"
"0500000US18167","Vigo County, Indiana","108291","*****"
"0500000US18177","Wayne County, Indiana","67893","*****"
"0500000US19013","Black Hawk County, Iowa","132546","*****"
"0500000US19049","Dallas County, Iowa","74641","*****"
"0500000US19061","Dubuque County, Iowa","95697","*****"
"0500000US19103","Johnson County, Iowa","139155","*****"
"0500000US19113","Linn County, Iowa","216111","*****"
"0500000US19153","Polk County, Iowa","451677","*****"
"0500000US19155","Pottawattamie County, Iowa","92728","*****"
"0500000US19163","Scott County, Iowa","170385","*****"
"0500000US19169","Story County, Iowa","92406","*****"
"0500000US19193","Woodbury County, Iowa","102130","*****"
"0500000US20015","Butler County, Kansas","65803","*****"
"0500000US20045","Douglas County, Kansas","114322","*****"
"0500000US20091","Johnson County, Kansas","566933","*****"
"0500000US20103","Leavenworth County, Kansas","78185","*****"
"0500000US20161","Riley County, Kansas","75394","*****"
"0500000US20173","Sedgwick County, Kansas","505415","*****"
"0500000US20177","Shawnee County, Kansas","178831","*****"
"0500000US20209","Wyandotte County, Kansas","160384","*****"
"0500000US21015","Boone County, Kentucky","124442","*****"
"0500000US21029","Bullitt County, Kentucky","76854","*****"
"0500000US21037","Campbell County, Kentucky","90988","*****"
"0500000US21047","Christian County, Kentucky","74167","*****"
"0500000US21059","Daviess County, Kentucky","98218","*****"
"0500000US21067","Fayette County, Kentucky","308428","*****"
"0500000US21093","Hardin County, Kentucky","108191","*****"
"0500000US21111","Jefferson County, Kentucky","756832","*****"
"0500000US21117","Kenton County, Kentucky","163145","*****"
"0500000US21145","McCracken County, Kentucky","65373","*****"
"0500000US21151","Madison County, Kentucky","85590","*****"
"0500000US21195","Pike County, Kentucky","63380","*****"
"0500000US21227","Warren County, Kentucky","118370","*****"
"0500000US22005","Ascension Parish, Louisiana","114393","*****"
"0500000US22015","Bossier Parish, Louisiana","123823","*****"
"0500000US22017","Caddo Parish, Louisiana","254887","*****"
"0500000US22019","Calcasieu Parish, Louisiana","195296","*****"
"0500000US22033","East Baton Rouge Parish, Louisiana","445227","*****"
"0500000US22045","Iberia Parish, Louisiana","73878","*****"
"0500000US22051","Jefferson Parish, Louisiana","434767","*****"
"0500000US22055","Lafayette Parish, Louisiana","230845","*****"
"0500000US22057","Lafourche Parish, Louisiana","97141","*****"
"0500000US22063","Livingston Parish, Louisiana","134053","*****"
