"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
200811,"Atlanta-Sandy Springs-Roswell, GA",12060,48,68,37,31,73,1.9,2.8,1.5,1.3,3.0
200812,"Atlanta-Sandy Springs-Roswell, GA",12060,44,55,33,37,76,1.8,2.3,1.4,1.5,3.2
200901,"Atlanta-Sandy Springs-Roswell, GA",12060,41,55,30,43,78,1.7,2.3,1.2,1.8,3.3
200902,"Atlanta-Sandy Springs-Roswell, GA",12060,42,55,29,43,79,1.7,2.3,1.2,1.8,3.3
200903,"Atlanta-Sandy Springs-Roswell, GA",12060,42,67,31,43,80,1.8,2.9,1.3,1.8,3.4
200904,"Atlanta-Sandy Springs-Roswell, GA",12060,42,68,31,39,75,1.8,2.9,1.3,1.7,3.2
200905,"Atlanta-Sandy Springs-Roswell, GA",12060,41,71,31,39,75,1.7,3.1,1.4,1.7,3.2
200906,"Atlanta-Sandy Springs-Roswell, GA",12060,41,65,31,35,71,1.7,2.8,1.3,1.5,3.1
200907,"Atlanta-Sandy Springs-Roswell, GA",12060,40,64,30,35,71,1.7,2.8,1.3,1.5,3.1
200908,"Atlanta-Sandy Springs-Roswell, GA",12060,39,67,32,37,76,1.7,2.9,1.4,1.6,3.3
200909,"Atlanta-Sandy Springs-Roswell, GA",12060,39,69,30,36,73,1.7,3.0,1.3,1.6,3.2
200910,"Atlanta-Sandy Springs-Roswell, GA",12060,41,67,29,35,69,1.8,2.9,1.3,1.5,3.1
200911,"Atlanta-Sandy Springs-Roswell, GA",12060,40,60,24,31,59,1.7,2.6,1.1,1.4,2.6
200912,"Atlanta-Sandy Springs-Roswell, GA",12060,36,53,25,30,59,1.6,2.3,1.1,1.3,2.6
201001,"Atlanta-Sandy Springs-Roswell, GA",12060,33,49,26,27,57,1.4,2.2,1.1,1.2,2.5
201002,"Atlanta-Sandy Springs-Roswell, GA",12060,33,49,26,23,53,1.4,2.2,1.1,1.0,2.4
201003,"Atlanta-Sandy Springs-Roswell, GA",12060,35,53,26,20,51,1.5,2.3,1.2,.9,2.3
201004,"Atlanta-Sandy Springs-Roswell, GA",12060,36,57,27,20,51,1.6,2.5,1.2,.9,2.3
201005,"Atlanta-Sandy Springs-Roswell, GA",12060,39,65,30,22,57,1.7,2.9,1.3,1.0,2.5
201006,"Atlanta-Sandy Springs-Roswell, GA",12060,41,71,32,25,62,1.8,3.1,1.4,1.1,2.7
201007,"Atlanta-Sandy Springs-Roswell, GA",12060,44,73,32,26,64,1.9,3.2,1.4,1.1,2.8
201008,"Atlanta-Sandy Springs-Roswell, GA",12060,47,73,38,33,77,2.0,3.2,1.7,1.4,3.4
201009,"Atlanta-Sandy Springs-Roswell, GA",12060,50,77,39,32,77,2.1,3.4,1.7,1.4,3.4
201010,"Atlanta-Sandy Springs-Roswell, GA",12060,52,77,40,31,76,2.2,3.4,1.7,1.4,3.3
201011,"Atlanta-Sandy Springs-Roswell, GA",12060,52,73,32,25,63,2.2,3.2,1.4,1.1,2.8
201012,"Atlanta-Sandy Springs-Roswell, GA",12060,49,65,33,29,66,2.1,2.8,1.4,1.3,2.9
201101,"Atlanta-Sandy Springs-Roswell, GA",12060,45,64,31,34,73,1.9,2.8,1.4,1.5,3.2
201102,"Atlanta-Sandy Springs-Roswell, GA",12060,47,61,31,31,69,2.0,2.7,1.4,1.4,3.0
201103,"Atlanta-Sandy Springs-Roswell, GA",12060,49,65,32,26,66,2.1,2.9,1.4,1.1,2.9
201104,"Atlanta-Sandy Springs-Roswell, GA",12060,54,69,32,26,65,2.3,3.0,1.4,1.1,2.8
201105,"Atlanta-Sandy Springs-Roswell, GA",12060,52,78,33,31,70,2.2,3.4,1.4,1.3,3.0
201106,"Atlanta-Sandy Springs-Roswell, GA",12060,51,78,31,33,71,2.2,3.4,1.4,1.4,3.1
201107,"Atlanta-Sandy Springs-Roswell, GA",12060,50,75,34,30,70,2.1,3.2,1.5,1.3,3.0
201108,"Atlanta-Sandy Springs-Roswell, GA",12060,51,72,37,32,75,2.2,3.1,1.6,1.4,3.2
201109,"Atlanta-Sandy Springs-Roswell, GA",12060,55,68,40,30,77,2.3,2.9,1.7,1.3,3.3
201110,"Atlanta-Sandy Springs-Roswell, GA",12060,57,68,38,29,74,2.4,2.9,1.6,1.3,3.2
201111,"Atlanta-Sandy Springs-Roswell, GA",12060,60,62,35,25,66,2.5,2.6,1.5,1.1,2.8
201112,"Atlanta-Sandy Springs-Roswell, GA",12060,57,57,28,28,62,2.4,2.4,1.2,1.2,2.7
201201,"Atlanta-Sandy Springs-Roswell, GA",12060,56,62,26,28,60,2.4,2.7,1.1,1.2,2.6
201202,"Atlanta-Sandy Springs-Roswell, GA",12060,57,61,25,26,57,2.4,2.6,1.1,1.1,2.4
201203,"Atlanta-Sandy Springs-Roswell, GA",12060,59,71,27,22,55,2.5,3.0,1.2,.9,2.4
201204,"Atlanta-Sandy Springs-Roswell, GA",12060,63,72,30,24,59,2.6,3.1,1.3,1.0,2.5
201205,"Atlanta-Sandy Springs-Roswell, GA",12060,67,82,35,39,79,2.8,3.5,1.5,1.7,3.4
201206,"Atlanta-Sandy Springs-Roswell, GA",12060,68,91,37,41,85,2.8,3.9,1.6,1.8,3.6
201207,"Atlanta-Sandy Springs-Roswell, GA",12060,64,90,36,39,81,2.7,3.8,1.5,1.7,3.5
201208,"Atlanta-Sandy Springs-Roswell, GA",12060,63,89,41,30,79,2.6,3.8,1.8,1.3,3.4
201209,"Atlanta-Sandy Springs-Roswell, GA",12060,62,77,39,33,79,2.6,3.3,1.7,1.4,3.3
201210,"Atlanta-Sandy Springs-Roswell, GA",12060,63,74,39,39,84,2.6,3.1,1.6,1.7,3.6
201211,"Atlanta-Sandy Springs-Roswell, GA",12060,57,71,29,35,69,2.4,3.0,1.2,1.5,2.9
201212,"Atlanta-Sandy Springs-Roswell, GA",12060,57,66,28,33,67,2.3,2.8,1.2,1.4,2.8
201301,"Atlanta-Sandy Springs-Roswell, GA",12060,54,62,27,28,61,2.2,2.6,1.1,1.2,2.6
201302,"Atlanta-Sandy Springs-Roswell, GA",12060,56,55,29,26,60,2.3,2.3,1.2,1.1,2.5
201303,"Atlanta-Sandy Springs-Roswell, GA",12060,61,64,30,24,58,2.5,2.7,1.2,1.0,2.4
201304,"Atlanta-Sandy Springs-Roswell, GA",12060,67,71,33,22,59,2.7,3.0,1.4,.9,2.5
201305,"Atlanta-Sandy Springs-Roswell, GA",12060,73,84,35,30,71,2.9,3.5,1.5,1.3,3.0
201306,"Atlanta-Sandy Springs-Roswell, GA",12060,70,87,37,33,77,2.8,3.6,1.5,1.4,3.2
201307,"Atlanta-Sandy Springs-Roswell, GA",12060,71,93,37,33,77,2.8,3.9,1.5,1.4,3.2
