"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
200605,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,65,30,16,49,2.6,3.6,1.7,.8,2.7
200606,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,50,72,33,16,52,2.6,3.9,1.8,.8,2.8
200607,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,74,35,18,58,2.6,4.0,1.9,1.0,3.1
200608,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,51,71,39,20,64,2.7,3.8,2.1,1.1,3.5
200609,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,54,65,40,22,67,2.9,3.5,2.2,1.2,3.6
200610,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,55,65,39,22,64,2.9,3.5,2.1,1.2,3.5
200611,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,53,64,33,24,61,2.8,3.4,1.8,1.3,3.3
200612,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,60,31,27,61,2.6,3.2,1.7,1.4,3.3
200701,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,54,28,28,60,2.5,2.9,1.5,1.5,3.3
200702,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,52,28,24,56,2.6,2.8,1.5,1.3,3.0
200703,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,53,30,21,55,2.6,2.9,1.7,1.1,3.0
200704,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,50,56,31,20,55,2.7,3.0,1.7,1.1,3.0
200705,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,50,66,34,21,60,2.7,3.6,1.8,1.2,3.3
200706,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,52,73,33,20,57,2.7,3.9,1.8,1.1,3.1
200707,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,50,73,33,21,58,2.6,3.9,1.8,1.1,3.1
200708,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,51,69,38,22,65,2.7,3.7,2.1,1.2,3.5
200709,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,52,69,39,25,69,2.8,3.7,2.1,1.3,3.7
200710,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,53,71,40,24,68,2.8,3.8,2.1,1.3,3.7
200711,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,52,68,32,24,59,2.7,3.7,1.7,1.3,3.2
200712,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,58,30,24,57,2.5,3.1,1.6,1.3,3.1
200801,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,44,53,28,24,55,2.3,2.9,1.5,1.3,3.0
200802,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,42,46,27,22,54,2.2,2.5,1.5,1.2,2.9
200803,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,41,48,25,18,48,2.2,2.6,1.4,1.0,2.6
200804,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,41,49,26,17,46,2.2,2.7,1.4,.9,2.5
200805,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,43,57,26,19,48,2.3,3.1,1.4,1.0,2.6
200806,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,43,66,27,20,52,2.2,3.5,1.5,1.1,2.8
200807,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,43,66,27,21,51,2.2,3.5,1.5,1.1,2.8
200808,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,41,62,32,20,57,2.2,3.4,1.8,1.1,3.1
200809,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,42,59,33,22,60,2.2,3.2,1.8,1.2,3.2
200810,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,41,58,32,24,60,2.1,3.1,1.7,1.3,3.3
200811,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,37,52,24,25,52,1.9,2.8,1.3,1.3,2.8
200812,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,31,42,20,29,52,1.7,2.3,1.1,1.6,2.8
200901,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,28,37,19,30,52,1.5,2.0,1.1,1.7,2.9
200902,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26,33,20,31,53,1.4,1.9,1.1,1.7,3.0
200903,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,36,19,28,50,1.4,2.1,1.1,1.6,2.8
200904,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26,39,18,25,46,1.5,2.2,1.0,1.4,2.6
200905,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,27,47,16,22,41,1.5,2.6,.9,1.2,2.3
200906,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,27,50,17,19,39,1.5,2.8,1.0,1.1,2.2
200907,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26,49,18,17,39,1.4,2.8,1.0,1.0,2.2
200908,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,49,20,20,46,1.4,2.8,1.2,1.1,2.6
200909,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,46,22,26,54,1.4,2.6,1.3,1.5,3.1
200910,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26,48,22,28,55,1.5,2.8,1.2,1.6,3.1
200911,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26,44,19,27,48,1.5,2.5,1.1,1.5,2.8
200912,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,40,16,24,44,1.4,2.3,.9,1.4,2.5
201001,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,37,16,24,43,1.4,2.1,.9,1.4,2.5
201002,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,25,39,16,22,41,1.4,2.3,.9,1.3,2.4
201003,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,27,45,16,18,37,1.5,2.7,.9,1.0,2.2
201004,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,28,50,16,16,35,1.6,2.9,1.0,.9,2.0
201005,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,31,57,19,16,38,1.8,3.3,1.1,.9,2.2
201006,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,33,60,20,17,40,1.8,3.4,1.1,.9,2.3
201007,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,34,59,21,20,45,1.9,3.4,1.2,1.1,2.6
201008,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,33,56,25,20,49,1.8,3.2,1.4,1.2,2.8
201009,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,33,51,25,23,52,1.9,2.9,1.4,1.3,3.0
201010,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,32,49,26,21,50,1.8,2.8,1.5,1.2,2.8
201011,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,33,46,21,22,47,1.8,2.6,1.2,1.2,2.6
201012,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,32,41,20,24,48,1.8,2.3,1.1,1.4,2.7
201101,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,35,43,19,28,51,1.9,2.4,1.1,1.6,2.9
201102,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,34,43,19,24,48,1.9,2.5,1.1,1.4,2.7
201103,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,36,47,20,19,43,2.0,2.7,1.1,1.1,2.5
201104,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,37,49,20,16,40,2.0,2.8,1.2,.9,2.3
201105,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,39,56,21,18,42,2.1,3.1,1.2,1.0,2.4
201106,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,40,61,22,22,48,2.2,3.4,1.2,1.2,2.7
201107,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,42,59,24,23,51,2.3,3.3,1.3,1.3,2.9
201108,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,46,61,29,23,57,2.5,3.4,1.6,1.3,3.2
201109,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,47,61,30,24,58,2.6,3.4,1.7,1.3,3.3
201110,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,46,61,28,24,56,2.5,3.4,1.5,1.3,3.1
201111,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,41,54,22,25,50,2.2,3.0,1.2,1.4,2.7
201112,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,37,46,20,22,44,2.0,2.5,1.1,1.2,2.4
201201,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,38,45,20,24,48,2.1,2.5,1.1,1.3,2.6
201202,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,39,44,20,22,47,2.1,2.5,1.1,1.2,2.6
201203,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,44,48,21,20,46,2.4,2.7,1.2,1.1,2.6
201204,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,54,23,19,46,2.6,3.0,1.3,1.1,2.6
201205,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,61,26,22,52,2.6,3.4,1.4,1.2,2.9
201206,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,66,28,22,54,2.6,3.6,1.5,1.2,3.0
201207,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,46,60,27,19,50,2.4,3.3,1.5,1.0,2.7
201208,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,46,62,28,18,51,2.4,3.4,1.5,1.0,2.8
201209,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,62,28,21,54,2.6,3.4,1.5,1.1,3.0
201210,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,51,62,27,21,53,2.7,3.4,1.5,1.1,2.9
201211,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,51,59,23,22,50,2.7,3.2,1.3,1.2,2.7
201212,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,51,51,21,22,48,2.7,2.8,1.1,1.2,2.6
201301,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,48,51,21,24,51,2.6,2.8,1.1,1.3,2.8
201302,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,49,44,20,20,47,2.6,2.4,1.1,1.1,2.6
201303,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,50,45,21,16,43,2.7,2.5,1.1,.9,2.4
201304,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,53,48,23,16,44,2.8,2.6,1.2,.9,2.4
201305,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58,64,27,18,49,3.0,3.5,1.5,1.0,2.7
201306,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,60,69,29,18,51,3.1,3.7,1.5,1.0,2.7
201307,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57,68,28,14,47,3.0,3.6,1.5,.8,2.5
201308,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56,61,30,17,52,2.9,3.2,1.6,.9,2.8
201309,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57,64,34,19,58,3.0,3.4,1.8,1.0,3.1
201310,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62,63,35,21,60,3.2,3.4,1.9,1.1,3.2
201311,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61,60,31,25,59,3.2,3.2,1.7,1.3,3.1
201312,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58,54,25,26,54,3.0,2.9,1.3,1.4,2.9
201401,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,53,50,24,27,55,2.7,2.7,1.3,1.5,2.9
201402,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,54,46,23,21,48,2.8,2.5,1.3,1.1,2.6
201403,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57,45,26,18,47,3.0,2.4,1.4,1.0,2.6
201404,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,63,57,27,17,47,3.3,3.1,1.5,.9,2.5
201405,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66,72,28,16,48,3.4,3.9,1.5,.9,2.5
201406,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,67,78,30,18,52,3.4,4.1,1.6,1.0,2.7
201407,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,68,74,31,17,52,3.4,3.9,1.6,.9,2.7
201408,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66,67,35,17,57,3.4,3.5,1.8,.9,3.0
201409,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,70,65,35,17,55,3.5,3.4,1.8,.9,2.9
201410,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,69,63,33,18,55,3.5,3.3,1.7,1.0,2.9
201411,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,70,61,28,20,51,3.5,3.2,1.5,1.0,2.7
201412,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,68,56,25,20,48,3.4,2.9,1.3,1.0,2.5
201501,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,73,55,26,20,49,3.7,2.9,1.3,1.1,2.6
201502,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,80,50,26,17,47,4.1,2.7,1.4,.9,2.5
201503,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,92,53,29,16,49,4.7,2.8,1.6,.9,2.6
201504,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,94,57,30,17,52,4.7,3.0,1.6,.9,2.7
201505,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,91,69,33,20,56,4.5,3.6,1.7,1.0,2.9
201506,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,81,80,32,20,57,4.0,4.1,1.7,1.0,2.9
201507,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,77,75,33,19,55,3.8,3.8,1.7,1.0,2.8
201508,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,74,71,38,20,62,3.7,3.7,1.9,1.0,3.2
201509,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,72,65,40,23,67,3.6,3.4,2.0,1.2,3.5
201510,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,69,65,39,24,67,3.4,3.4,2.0,1.3,3.4
201511,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,73,62,33,23,59,3.6,3.2,1.7,1.2,3.0
201512,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,72,56,30,21,55,3.6,2.9,1.5,1.1,2.8
201601,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,73,56,28,22,55,3.6,2.9,1.5,1.1,2.9
201602,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,72,54,28,25,59,3.6,2.8,1.5,1.3,3.0
201603,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,73,57,29,25,59,3.7,3.0,1.5,1.3,3.1
201604,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,80,60,29,21,54,4.0,3.1,1.5,1.1,2.8
201605,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,80,69,30,16,49,4.0,3.5,1.6,.8,2.5
201606,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,81,75,30,14,48,4.0,3.8,1.5,.7,2.5
201607,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,82,74,31,16,51,4.0,3.7,1.6,.8,2.6
201608,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,86,72,36,18,58,4.2,3.7,1.8,.9,2.9
201609,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,89,67,39,19,62,4.3,3.4,2.0,1.0,3.1
201610,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,83,68,41,21,65,4.0,3.4,2.0,1.1,3.3
201611,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,78,65,36,25,63,3.8,3.3,1.8,1.2,3.2
201612,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,75,61,31,26,60,3.6,3.1,1.6,1.3,3.0
201701,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,71,58,29,26,59,3.5,2.9,1.5,1.3,3.0
201702,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,69,51,29,20,54,3.4,2.6,1.5,1.0,2.7
201703,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,71,53,30,17,50,3.5,2.7,1.5,.9,2.6
201704,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,81,58,31,15,49,4.0,2.9,1.6,.8,2.5
201705,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,83,70,31,15,50,4.0,3.5,1.6,.8,2.5
201706,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,85,79,32,17,54,4.1,4.0,1.6,.9,2.7
201707,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,85,78,34,23,62,4.1,3.9,1.7,1.2,3.1
201708,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,91,73,39,26,69,4.3,3.7,2.0,1.3,3.5
201709,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,96,72,41,27,71,4.6,3.6,2.1,1.3,3.5
201710,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,98,71,39,24,67,4.7,3.6,2.0,1.2,3.3
201711,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,98,67,33,23,60,4.6,3.3,1.7,1.1,3.0
201712,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,96,56,30,24,58,4.5,2.8,1.5,1.2,2.9
201801,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,95,53,30,23,56,4.5,2.6,1.5,1.2,2.8
201802,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,96,50,30,20,54,4.6,2.5,1.5,1.0,2.7
201803,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,98,56,33,17,54,4.7,2.8,1.6,.9,2.7
201804,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,102,63,34,15,53,4.9,3.2,1.7,.7,2.7
201805,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,109,83,37,17,59,5.2,4.2,1.9,.8,2.9
201806,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,111,93,40,18,62,5.2,4.6,2.0,.9,3.1
201807,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,109,93,40,20,64,5.1,4.6,2.0,1.0,3.2
201808,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,106,82,44,21,70,5.0,4.1,2.2,1.1,3.4
201809,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,106,77,42,22,68,5.0,3.8,2.1,1.1,3.4
201810,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,110,77,46,25,74,5.1,3.8,2.2,1.2,3.6
201811,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,108,72,40,30,73,5.1,3.5,2.0,1.5,3.6
201812,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,104,62,38,35,76,4.9,3.1,1.9,1.7,3.8
201901,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,96,59,34,33,70,4.6,2.9,1.7,1.6,3.5
201902,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,93,54,32,24,59,4.5,2.7,1.6,1.2,3.0
201903,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,89,57,33,15,51,4.3,2.9,1.7,.7,2.6
201904,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,94,58,33,13,49,4.5,2.9,1.7,.6,2.5
201905,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,103,72,36,13,52,4.9,3.6,1.8,.6,2.6
201906,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,106,83,38,16,58,5.0,4.1,1.9,.8,2.9
201907,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,101,85,42,17,63,4.8,4.2,2.1,.8,3.1
201908,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,93,80,46,19,69,4.4,3.9,2.2,.9,3.4
201909,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,90,76,46,18,68,4.2,3.8,2.3,.9,3.4
201910,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,90,74,46,20,71,4.3,3.7,2.3,1.0,3.5
201911,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,87,71,41,19,65,4.1,3.5,2.0,1.0,3.2
201912,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,79,61,37,20,61,3.8,3.0,1.8,1.0,3.0
200102,"New York-Newark-Jersey City, NY-NJ-PA",35620,282,207,110,105,230,3.1,2.4,1.3,1.2,2.6
200103,"New York-Newark-Jersey City, NY-NJ-PA",35620,316,224,115,102,236,3.5,2.6,1.3,1.2,2.7
200104,"New York-Newark-Jersey City, NY-NJ-PA",35620,324,249,121,86,224,3.6,2.9,1.4,1.0,2.6
200105,"New York-Newark-Jersey City, NY-NJ-PA",35620,323,265,129,85,235,3.6,3.0,1.5,1.0,2.7
200106,"New York-Newark-Jersey City, NY-NJ-PA",35620,296,306,135,81,234,3.3,3.5,1.5,.9,2.7
200107,"New York-Newark-Jersey City, NY-NJ-PA",35620,273,295,149,88,259,3.0,3.4,1.7,1.0,3.0
200108,"New York-Newark-Jersey City, NY-NJ-PA",35620,262,285,159,101,282,2.9,3.3,1.8,1.2,3.2
200109,"New York-Newark-Jersey City, NY-NJ-PA",35620,258,247,164,128,316,2.9,2.8,1.9,1.5,3.6
200110,"New York-Newark-Jersey City, NY-NJ-PA",35620,242,256,157,139,318,2.7,3.0,1.8,1.6,3.7
200111,"New York-Newark-Jersey City, NY-NJ-PA",35620,234,248,143,142,303,2.6,2.9,1.6,1.6,3.5
200112,"New York-Newark-Jersey City, NY-NJ-PA",35620,215,225,138,133,290,2.4,2.6,1.6,1.5,3.3
200201,"New York-Newark-Jersey City, NY-NJ-PA",35620,208,201,128,130,276,2.4,2.3,1.5,1.5,3.2
200202,"New York-Newark-Jersey City, NY-NJ-PA",35620,191,190,121,115,258,2.2,2.2,1.4,1.4,3.0
200203,"New York-Newark-Jersey City, NY-NJ-PA",35620,197,208,114,100,236,2.3,2.5,1.3,1.2,2.8
200204,"New York-Newark-Jersey City, NY-NJ-PA",35620,203,218,109,90,222,2.3,2.6,1.3,1.1,2.6
200205,"New York-Newark-Jersey City, NY-NJ-PA",35620,209,249,112,90,224,2.4,2.9,1.3,1.1,2.6
200206,"New York-Newark-Jersey City, NY-NJ-PA",35620,216,267,115,99,236,2.5,3.1,1.3,1.2,2.7
200207,"New York-Newark-Jersey City, NY-NJ-PA",35620,220,265,120,102,244,2.5,3.1,1.4,1.2,2.8
200208,"New York-Newark-Jersey City, NY-NJ-PA",35620,219,254,135,119,276,2.5,3.0,1.6,1.4,3.2
200209,"New York-Newark-Jersey City, NY-NJ-PA",35620,211,251,142,113,278,2.4,2.9,1.7,1.3,3.3
200210,"New York-Newark-Jersey City, NY-NJ-PA",35620,207,261,142,109,274,2.4,3.1,1.7,1.3,3.2
200211,"New York-Newark-Jersey City, NY-NJ-PA",35620,198,249,126,97,247,2.2,2.9,1.5,1.1,2.9
200212,"New York-Newark-Jersey City, NY-NJ-PA",35620,181,238,106,110,241,2.1,2.8,1.2,1.3,2.8
200301,"New York-Newark-Jersey City, NY-NJ-PA",35620,163,219,98,127,258,1.9,2.6,1.1,1.5,3.0
200302,"New York-Newark-Jersey City, NY-NJ-PA",35620,155,202,89,128,248,1.8,2.4,1.0,1.5,2.9
200303,"New York-Newark-Jersey City, NY-NJ-PA",35620,159,191,91,111,231,1.9,2.3,1.1,1.3,2.7
200304,"New York-Newark-Jersey City, NY-NJ-PA",35620,168,197,89,88,194,1.9,2.3,1.0,1.0,2.3
200305,"New York-Newark-Jersey City, NY-NJ-PA",35620,183,221,93,87,200,2.1,2.6,1.1,1.0,2.4
200306,"New York-Newark-Jersey City, NY-NJ-PA",35620,194,253,100,109,230,2.2,3.0,1.2,1.3,2.7
200307,"New York-Newark-Jersey City, NY-NJ-PA",35620,203,283,110,121,254,2.3,3.3,1.3,1.4,3.0
200308,"New York-Newark-Jersey City, NY-NJ-PA",35620,202,287,123,132,275,2.3,3.4,1.4,1.5,3.2
200309,"New York-Newark-Jersey City, NY-NJ-PA",35620,194,307,129,139,289,2.2,3.6,1.5,1.6,3.4
200310,"New York-Newark-Jersey City, NY-NJ-PA",35620,188,303,124,134,278,2.2,3.5,1.4,1.6,3.3
200311,"New York-Newark-Jersey City, NY-NJ-PA",35620,185,305,112,127,257,2.1,3.6,1.3,1.5,3.0
200312,"New York-Newark-Jersey City, NY-NJ-PA",35620,184,260,101,116,235,2.1,3.0,1.2,1.3,2.7
200401,"New York-Newark-Jersey City, NY-NJ-PA",35620,170,238,99,127,244,1.9,2.8,1.2,1.5,2.8
200402,"New York-Newark-Jersey City, NY-NJ-PA",35620,170,213,94,117,230,2.0,2.5,1.1,1.4,2.7
200403,"New York-Newark-Jersey City, NY-NJ-PA",35620,183,220,88,100,204,2.1,2.6,1.0,1.2,2.4
200404,"New York-Newark-Jersey City, NY-NJ-PA",35620,204,239,96,86,199,2.4,2.8,1.1,1.0,2.3
200405,"New York-Newark-Jersey City, NY-NJ-PA",35620,207,268,103,84,207,2.4,3.1,1.2,1.0,2.4
200406,"New York-Newark-Jersey City, NY-NJ-PA",35620,206,305,124,89,237,2.3,3.5,1.4,1.0,2.8
200407,"New York-Newark-Jersey City, NY-NJ-PA",35620,208,306,128,91,245,2.4,3.5,1.5,1.1,2.8
200408,"New York-Newark-Jersey City, NY-NJ-PA",35620,225,309,145,123,291,2.5,3.6,1.7,1.4,3.4
200409,"New York-Newark-Jersey City, NY-NJ-PA",35620,241,300,150,133,306,2.7,3.5,1.7,1.6,3.6
200410,"New York-Newark-Jersey City, NY-NJ-PA",35620,259,312,148,144,313,2.9,3.6,1.7,1.7,3.6
200411,"New York-Newark-Jersey City, NY-NJ-PA",35620,242,316,129,126,273,2.7,3.6,1.5,1.5,3.2
200412,"New York-Newark-Jersey City, NY-NJ-PA",35620,225,284,113,157,288,2.5,3.3,1.3,1.8,3.3
200501,"New York-Newark-Jersey City, NY-NJ-PA",35620,193,255,114,154,286,2.2,2.9,1.3,1.8,3.3
200502,"New York-Newark-Jersey City, NY-NJ-PA",35620,196,224,111,150,281,2.2,2.6,1.3,1.8,3.3
200503,"New York-Newark-Jersey City, NY-NJ-PA",35620,199,238,109,115,240,2.3,2.8,1.3,1.3,2.8
200504,"New York-Newark-Jersey City, NY-NJ-PA",35620,225,255,101,110,228,2.6,3.0,1.2,1.3,2.7
200505,"New York-Newark-Jersey City, NY-NJ-PA",35620,234,288,117,103,239,2.6,3.3,1.4,1.2,2.8
200506,"New York-Newark-Jersey City, NY-NJ-PA",35620,244,322,124,99,250,2.7,3.7,1.4,1.1,2.9
200507,"New York-Newark-Jersey City, NY-NJ-PA",35620,235,340,135,91,252,2.6,3.9,1.6,1.0,2.9
200508,"New York-Newark-Jersey City, NY-NJ-PA",35620,239,329,150,116,290,2.7,3.8,1.7,1.3,3.3
200509,"New York-Newark-Jersey City, NY-NJ-PA",35620,251,321,158,132,306,2.8,3.7,1.8,1.5,3.5
200510,"New York-Newark-Jersey City, NY-NJ-PA",35620,269,306,149,146,308,3.0,3.5,1.7,1.7,3.6
200511,"New York-Newark-Jersey City, NY-NJ-PA",35620,256,299,119,127,261,2.8,3.4,1.4,1.5,3.0
200512,"New York-Newark-Jersey City, NY-NJ-PA",35620,234,241,106,132,253,2.6,2.8,1.2,1.5,2.9
200601,"New York-Newark-Jersey City, NY-NJ-PA",35620,224,217,108,124,250,2.5,2.5,1.2,1.4,2.9
